name,lat,lng,rating,types
Super U,48.8116741,2.2717072,3.6,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']"
Bijouterie Isis,48.81280109999999,2.2716335,2.1,"['jewelry_store', 'store', 'point_of_interest', 'establishment']"
Charcuterie Aveline,48.8124206,2.2712795,4.1,"['store', 'point_of_interest', 'food', 'establishment']"
Maxime Ollivier,48.81826820000001,2.267163,3.7,"['bakery', 'store', 'point_of_interest', 'food', 'establishment']"
Brico Decor,48.81267250000001,2.2715396,4.5,"['home_goods_store', 'store', 'point_of_interest', 'establishment']"
Dwa,48.8122658,2.2711629,2.6,"['grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']"
Picard,48.812103,2.2714893,4.4,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']"
bp,48.81187,2.271275999999999,4.0,"['gas_station', 'car_wash', 'convenience_store', 'store', 'point_of_interest', 'food', 'establishment']"
As Prix,48.8123045,2.2730148,3.9,"['store', 'point_of_interest', 'establishment']"
Maison Caille,48.81236209999999,2.2712691,4.0,"['bakery', 'store', 'point_of_interest', 'food', 'establishment']"
Epicerie Fine Belinda,48.8114237,2.2709646,4.8,"['grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']"
Le Potelet,48.8114493,2.2682984,,"['furniture_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']"
Librairie Le Livre et la Tortue,48.8175825,2.2678603,4.9,"['book_store', 'store', 'point_of_interest', 'establishment']"
MaWenMax,48.81654450000001,2.2677022,,"['store', 'point_of_interest', 'establishment']"
Comme Chez Rose,48.8174857,2.2700702,4.7,"['store', 'restaurant', 'point_of_interest', 'food', 'establishment']"
Sanz Patricia,48.8137192,2.271461699999999,5.0,"['school', 'store', 'point_of_interest', 'establishment']"
Pharmacie de la Gare de Clamart,48.8128789,2.2724935,4.3,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']"
VOLTA SHOP - Vente et Réparation Vélo,48.8138052,2.271969799999999,4.9,"['bicycle_store', 'store', 'point_of_interest', 'establishment']"
Magasin de vélos et scooters électriques,48.8137878,2.2719618,,"['bicycle_store', 'store', 'point_of_interest', 'establishment']"
Monop',48.8179196,2.2675854,3.4,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']"
Lidl,48.8148187,2.277229999999999,3.7,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']"
Super U,48.8116741,2.2717072,3.6,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']"
Bijouterie Isis,48.81280109999999,2.2716335,2.1,"['jewelry_store', 'store', 'point_of_interest', 'establishment']"
As Prix,48.8123045,2.2730148,3.9,"['store', 'point_of_interest', 'establishment']"
Brico Decor,48.81267250000001,2.2715396,4.5,"['home_goods_store', 'store', 'point_of_interest', 'establishment']"
Charcuterie Aveline,48.8124206,2.2712795,4.1,"['store', 'point_of_interest', 'food', 'establishment']"
Picard,48.812103,2.2714893,4.4,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']"
Dwa,48.8122658,2.2711629,2.6,"['grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']"
bp,48.81187,2.271275999999999,4.0,"['gas_station', 'car_wash', 'convenience_store', 'store', 'point_of_interest', 'food', 'establishment']"
Avenir Automobiles,48.8155457,2.2791724,4.4,"['car_dealer', 'store', 'point_of_interest', 'establishment']"
Maison Caille,48.81236209999999,2.2712691,4.0,"['bakery', 'store', 'point_of_interest', 'food', 'establishment']"
Pharmacie Du Clos,48.81394,2.2784482,4.3,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']"
Pharmacie de la Gare de Clamart,48.8128789,2.2724935,4.3,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']"
Wojo Coworking Clamart - Ibis Styles Gare Grand Paris,48.8143925,2.2738823,5.0,"['real_estate_agency', 'electronics_store', 'store', 'point_of_interest', 'establishment']"
AGESTAM,48.8164658,2.2755626,5.0,"['clothing_store', 'store', 'point_of_interest', 'establishment']"
"2rCM - SYM, Derbi, Lapierre GITANE",48.81641680000001,2.2756378,4.2,"['bicycle_store', 'store', 'point_of_interest', 'establishment']"
Photomaton,48.8138073,2.27307,,"['electronics_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']"
VOLTA SHOP - Vente et Réparation Vélo,48.8138052,2.271969799999999,4.9,"['bicycle_store', 'store', 'point_of_interest', 'establishment']"
Magasin de vélos et scooters électriques,48.8137878,2.2719618,,"['bicycle_store', 'store', 'point_of_interest', 'establishment']"
"D’KAV | Cave à Vin, Wine Shop",48.8137437,2.2719756,4.9,"['liquor_store', 'store', 'point_of_interest', 'food', 'establishment']"
Lidl,48.8148187,2.277229999999999,3.7,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
Studio France,48.8159425,2.2849754,5.0,"['store', 'point_of_interest', 'establishment']"
Avenir Automobiles,48.8155457,2.2791724,4.4,"['car_dealer', 'store', 'point_of_interest', 'establishment']"
Pharmacie Du Clos,48.81394,2.2784482,4.3,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']"
Renault,48.8154724,2.2790127,,"['car_dealer', 'store', 'point_of_interest', 'establishment']"
Noor cash & carry,48.8151941,2.2783292,3.0,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
Kas Market,48.8151365,2.2783287,2.0,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
La Rosa Valérie,48.8139599,2.278297199999999,,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']"
ParfumArte,48.81694419999999,2.277179899999999,,"['clothing_store', 'store', 'point_of_interest', 'establishment']"
"2rCM - SYM, Derbi, Lapierre GITANE",48.81641680000001,2.2756378,4.2,"['bicycle_store', 'store', 'point_of_interest', 'establishment']"
AGESTAM,48.8164658,2.2755626,5.0,"['clothing_store', 'store', 'point_of_interest', 'establishment']"
Baourir Abdallah,48.8165802,2.2833742,3.6,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
La graine de fleur dorée - Fleur Rivière,48.8165908,2.2833957,5.0,"['store', 'point_of_interest', 'establishment']"
SHINEBEAUTY,48.8191369,2.278561,,"['clothing_store', 'store', 'point_of_interest', 'establishment']"
Wojo Coworking Clamart - Ibis Styles Gare Grand Paris,48.8143925,2.2738823,5.0,"['electronics_store', 'real_estate_agency', 'store', 'point_of_interest', 'establishment']"
SM Boulangerie,48.8116657,2.2807517,3.5,"['bakery', 'food', 'store', 'point_of_interest', 'establishment']"
Mina Alimentation Générale et Taxiphone,48.8115188,2.2807884,3.7,"['grocery_or_supermarket', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']"
HA services batiment,48.8167847,2.2853956,5.0,"['general_contractor', 'home_goods_store', 'store', 'point_of_interest', 'establishment']"
Photomaton,48.8138073,2.27307,,"['electronics_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']"
Studio France,48.8159425,2.2849754,5.0,"['store', 'point_of_interest', 'establishment']"
MOKACO - Torréfacteur de café au service des entreprises,48.81711170000001,2.2862945,4.9,"['store', 'point_of_interest', 'food', 'establishment']"
The Grey Deer,48.8182931,2.2861526,,"['store', 'point_of_interest', 'establishment']"
